1795,191
1796,97
1794,53
28856,28
8061,112
8067,92
8064,62
28860,62
11518,53
28862,26
28866,12
11516,427
7084,179
26638,60
26640,28
26642,13
28882,1
7083,208
7075,733
7082,487
26652,453
7074,211
8068,191
4966,152
7077,76
7078,45
28872,5
28858,4
7079,407
8073,108
8070,53
28870,109
28868,22
28878,23
28876,12
28874,4
26568,2761
3862,705
3865,689
5015,625
3868,579
3866,330
8074,245
3864,78
3863,51
3869,40
2328,1031
4239,429
6280,261
12900,63
8950,57
4236,47
7603,26
11524,6
26568,2762
5007,778
12294,740
3805,579
28458,540
5006,1471
28460,300
12928,282
12918,275
12908,1111
28478,397
28482,334
28480,677
28466,92
28468,24
28462,10
28464,1231
28456,7
28454,1175
1820,307
2173,73
1824,7556
1823,4180
3803,1979
20220,1432
20234,1358
1821,1244
20244,759
28448,380
28620,248
20238,163
28624,118
20222,102
20236,97
20242,56
20240,10
2659,195
28622,27
20212,26
28618,123
28616,39
28628,62
28626,51
28630,5
1819,373
28472,51
28470,4
28684,100
1832,86
28682,82
28686,55
28678,9
28680,6281
28738,902
4593,334
28724,314
28722,304
8519,302
28736,160
28726,132
28732,96
28740,69
28734,30
28718,25
28716,24
28720,4
3804,1035
3428,539
5267,485
28696,101
28698,10
1829,568
1830,197
1836,181
28694,19
2971,304
28704,4
7795,6616
12296,3731
1831,2136
28692,1136
28690,982
28702,308
28706,66
4880,64
28672,63
12876,47
28714,14
28712,3
28708,2
28688,66
28674,62
28676,1
1838,522
1837,220
5263,201
5264,82
1813,634
8066,323
20190,151
12882,98
6653,43
2324,1925
8400,406
4429,185
12878,179
28640,111
5531,1280
2977,250
28638,118
4428,1375
5566,313
20182,122
28658,16
20174,590
28644,121
28646,51
7081,162
20172,87
1803,123
28426,145
28430,49
28428,774
28420,968
2657,716
8042,53
8040,8
8043,98
20254,450
20252,128
20258,106
28434,43
20248,26
20256,7
20250,519
8044,144
10413,74
28444,46
28446,7
12864,148
6742,359
12676,227
8251,161
7273,97
9013,304
28398,81
28392,62
28396,9
28942,496
28944,1004
6556,278
28940,169
6561,50
8087,29
8089,21
28938,18
28936,345
28948,219
28946,119
28950,37
28932,276
12672,97
28930,48
28934,4
4532,1654
2308,1551
12886,557
8086,486
2665,435
2664,253
29006,111
6255,105
10089,79
12890,72
4542,65
8088,1
28960,130
28952,111
29002,4
30020,349
8086,485
28920,826
28922,393
28926,22
28924,885
28906,62
28904,275
12298,123
2679,88
28918,2127
28902,337
11958,217
2680,211
11964,184
11968,176
11960,167
11956,139
11962,93
11966,56
28916,27
28908,21
28914,12
28910,7
28900,194
4293,321
4316,74
4294,66
4642,689
13150,457
4345,223
28894,132
4343,81
7361,76
4346,20
4585,6
28896,5
4454,316
4051,138
2146,224
28844,362
1828,354
1827,169
5349,63
28838,19
28842,110
28840,59
5350,195
29010,567
29008,23
2458,15
5584,73
29016,122
8094,46
7369,25
29014,6
5172,91
8054,1321
2678,442
1841,351
1839,153
20266,122
20264,104
